"","countrycode","year","gdppc","scenario"
"11556","TGO",1977,1386.407521,"Observed"
"11557","TGO",1978,1512.525891,"Observed"
"11558","TGO",1979,1554.513472,"Observed"
"11559","TGO",1980,1321.845558,"Observed"
"11560","TGO",1981,1150.143526,"Observed"
"11561","TGO",1982,1062.175028,"Observed"
"11562","TGO",1983,973.8923529,"Observed"
"11563","TGO",1984,943.4416907,"Observed"
"11564","TGO",1985,963.9279734,"Observed"
"11565","TGO",1986,980.8637779,"Observed"
"11566","TGO",1987,923.3205947,"Observed"
"11567","TGO",1988,973.0389075,"Observed"
"11568","TGO",1989,999.6480554,"Observed"
"11569","TGO",1990,1043.253835,"Observed"
"11570","TGO",1991,984.999979,"Observed"
"11571","TGO",1992,930.4428294,"Observed"
"11572","TGO",1993,773.7835345,"Observed"
"11573","TGO",1994,877.8644136,"Observed"
"11574","TGO",1995,884.5447167,"Observed"
"11575","TGO",1996,915.1079823,"Observed"
"11576","TGO",1997,919.2403615,"Observed"
"11577","TGO",1998,865.1649065,"Observed"
"11578","TGO",1999,850.4545692,"Observed"
"11579","TGO",2000,837.6852043,"Observed"
"11580","TGO",2001,780.8078161,"Observed"
"11581","TGO",2002,749.3264761,"Observed"
"11582","TGO",2003,762.5602955,"Observed"
"11583","TGO",2004,763.2379904,"Observed"
"11584","TGO",2005,737.9422455,"Observed"
"11585","TGO",2006,752.2614326,"Observed"
"11586","TGO",2007,743.4253192,"Observed"
"11587","TGO",2008,729.652335,"Observed"
"11588","TGO",2009,733.496289,"Observed"
"11589","TGO",2010,733.5017622,"Observed"
"11590","TGO",2011,726.42657186,"Observed"
"11591","TGO",2012,719.35138152,"Observed"
"11592","TGO",2013,712.27619118,"Observed"
"11593","TGO",2014,705.20100084,"Observed"
"11594","TGO",2015,698.1258105,"Observed"
"11595","TGO",2016,691.05062016,"Observed"
"11596","TGO",2017,683.97542982,"Observed"
"11597","TGO",2018,676.90023948,"Observed"
"11598","TGO",2019,669.82504914,"Observed"
"11599","TGO",2020,662.7498588,"Observed"
"11600","THA",1950,1028.727476,"Observed"
"11601","THA",1951,951.8950155,"Observed"
"11602","THA",1952,900.1222893,"Observed"
"11603","THA",1953,788.2998487,"Observed"
"11604","THA",1954,836.2257929,"Observed"
"11605","THA",1955,750.6573583,"Observed"
"11606","THA",1956,760.1082521,"Observed"
"11607","THA",1957,840.064044,"Observed"
"11608","THA",1958,829.7596476,"Observed"
"11609","THA",1959,894.9603578,"Observed"
"11610","THA",1960,973.8517598,"Observed"
"11611","THA",1961,995.0231782,"Observed"
"11612","THA",1962,1035.748873,"Observed"
"11613","THA",1963,1091.980216,"Observed"
"11614","THA",1964,1128.288663,"Observed"
"11615","THA",1965,1186.30354,"Observed"
"11616","THA",1966,1283.272694,"Observed"
"11617","THA",1967,1340.124961,"Observed"
"11618","THA",1968,1403.871529,"Observed"
"11619","THA",1969,1463.062442,"Observed"
"11620","THA",1970,1589.068442,"Observed"
"11621","THA",1971,1683.413921,"Observed"
"11622","THA",1972,1657.308139,"Observed"
"11623","THA",1973,1769.097519,"Observed"
"11624","THA",1974,1818.680847,"Observed"
"11625","THA",1975,1881.272562,"Observed"
"11626","THA",1976,2015.490674,"Observed"
"11627","THA",1977,2184.634029,"Observed"
"11628","THA",1978,2415.428591,"Observed"
"11629","THA",1979,2367.595568,"Observed"
"11630","THA",1980,2462.855739,"Observed"
"11631","THA",1981,2619.174889,"Observed"
"11632","THA",1982,2748.158446,"Observed"
"11633","THA",1983,2741.725767,"Observed"
